"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/12/2000","AQS","360610010","1","40","ppb","38","","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/13/2000","AQS","360610010","1","34","ppb","32","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/14/2000","AQS","360610010","1","38","ppb","36","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/16/2000","AQS","360610010","1","54","ppb","51","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/17/2000","AQS","360610010","1","39","ppb","37","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/18/2000","AQS","360610010","1","54","ppb","51","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/20/2000","AQS","360610010","1","53","ppb","50","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/21/2000","AQS","360610010","1","54","ppb","51","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/22/2000","AQS","360610010","1","63","ppb","61","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/23/2000","AQS","360610010","1","50","ppb","47","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/24/2000","AQS","360610010","1","49","ppb","46","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/25/2000","AQS","360610010","1","34","ppb","32","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/26/2000","AQS","360610010","1","75","ppb","73","","20","83.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/27/2000","AQS","360610010","1","48","ppb","45","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/28/2000","AQS","360610010","1","46","ppb","43","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/29/2000","AQS","360610010","1","55","ppb","52","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"06/30/2000","AQS","360610010","1","52","ppb","49","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/01/2000","AQS","360610010","1","57","ppb","54","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/04/2000","AQS","360610010","1","54","ppb","51","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/05/2000","AQS","360610010","1","41","ppb","39","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/07/2000","AQS","360610010","1","30","ppb","28","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/08/2000","AQS","360610010","1","46","ppb","43","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/09/2000","AQS","360610010","1","46","ppb","43","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/10/2000","AQS","360610010","1","48","ppb","45","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/11/2000","AQS","360610010","1","40","ppb","38","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/12/2000","AQS","360610010","1","67","ppb","65","","19","79.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/13/2000","AQS","360610010","1","70","ppb","68","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/14/2000","AQS","360610010","1","41","ppb","39","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/15/2000","AQS","360610010","1","43","ppb","41","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/16/2000","AQS","360610010","1","56","ppb","53","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/17/2000","AQS","360610010","1","56","ppb","53","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/18/2000","AQS","360610010","1","56","ppb","53","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/19/2000","AQS","360610010","1","44","ppb","42","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/21/2000","AQS","360610010","1","60","ppb","57","","20","83.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/22/2000","AQS","360610010","1","45","ppb","42","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/23/2000","AQS","360610010","1","46","ppb","43","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/24/2000","AQS","360610010","1","50","ppb","47","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/25/2000","AQS","360610010","1","41","ppb","39","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/26/2000","AQS","360610010","1","37","ppb","35","","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/27/2000","AQS","360610010","1","29","ppb","27","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/28/2000","AQS","360610010","1","43","ppb","41","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/29/2000","AQS","360610010","1","35","ppb","33","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/30/2000","AQS","360610010","1","35","ppb","33","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"07/31/2000","AQS","360610010","1","30","ppb","28","","19","79.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"08/02/2000","AQS","360610010","1","53","ppb","50","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
"08/03/2000","AQS","360610010","1","56","ppb","53","","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.739545915","-73.985694474"
